id,matricule,nom,prenom,telephone,secteur_id,secteur_nom,latitude,longitude,competences,statut,annees_exp,note_perf,heure_debut,heure_fin,capacite_tickets,ticket_actif_id,raison_indisponibilite
1,TECH-001,BENALI,Youssef,+212 624 572 220,5,Tanger,35.77324,-5.819878,"[""Maintenance BTS"", ""4G/LTE""]",DISPONIBLE,8,4.9,09:00,18:00,1,,
2,TECH-002,ELHASSANI,Fatima,+212 641 567 664,5,Tanger,35.761898,-5.895237,"[""4G/LTE"", ""Fibre"", ""Optique""]",INDISPONIBLE,15,4.2,09:00,18:00,1,,Formation interne
3,TECH-003,OUALI,Mohammed,+212 674 373 940,2,Rabat-Salé,33.960426,-6.76322,"[""2G/3G"", ""5G"", ""Maintenance BTS""]",DISPONIBLE,14,4.2,09:00,18:00,1,,
4,TECH-004,CHRAIBI,Amina,+212 680 881 656,8,Oujda,34.785419,-1.925847,"[""Fibre"", ""Optique"", ""5G""]",DISPONIBLE,14,3.4,09:00,18:00,1,,
5,TECH-005,BENKIRANE,Hamza,+212 670 822 930,4,Fès,34.037505,-5.07981,"[""Fibre"", ""Optique"", ""4G/LTE""]",DISPONIBLE,8,4.9,09:00,18:00,1,,
6,TECH-006,TAZI,Zineb,+212 666 202 638,3,Marrakech,31.630119,-7.956727,"[""Fibre"", ""2G/3G""]",INDISPONIBLE,12,3.3,09:00,18:00,1,,Formation interne
7,TECH-007,BERRADA,Anas,+212 660 765 182,2,Rabat-Salé,34.012654,-6.714788,"[""Optique"", ""5G"", ""Routage IP""]",DISPONIBLE,7,4.9,09:00,18:00,1,,
8,TECH-008,FILALI,Nadia,+212 697 394 332,8,Oujda,34.787344,-2.036833,"[""Maintenance BTS"", ""2G/3G""]",DISPONIBLE,7,5.0,09:00,18:00,1,,
9,TECH-009,BENSOUDA,Karim,+212 617 400 467,2,Rabat-Salé,34.005678,-6.789167,"[""5G"", ""Fibre""]",DISPONIBLE,3,3.5,09:00,18:00,1,,
10,TECH-010,LAHLOU,Sara,+212 688 991 491,7,Meknès,33.911318,-5.475641,"[""Routage IP"", ""Maintenance BTS""]",DISPONIBLE,4,4.0,09:00,18:00,1,,
