id,code,incident_id,incident_code,technicien_id,technicien_nom,technicien_matricule,secteur_id,secteur_nom,severite,statut,date_creation,date_assignation,date_resolution,duree_intervention_min,distance_km,note_intervention,statut_terrain,date_arrivee_site,date_debut_intervention,date_fin_intervention,pause_prise,pause_debut_terrain,pause_fin_terrain,cause_incomplete,contraintes,updated_by,historique_statuts
1,TKT-00001,1,INC-202602-0001,25,Ilyas IDRISSI,TECH-025,10,Tétouan,MAJEUR,RESOLU,2026-02-10T00:55:19.754412,2026-02-10T01:08:19.754412,2026-02-10T01:28:19.754412,46,28.26,3.6,COMPLETE,2026-02-10T01:46:19.754412,2026-02-10T01:58:19.754412,2026-02-10T02:44:19.754412,False,,,,"[""Necessite coupure reseau planifiee""]",ADMIN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-02-10T00:55:19.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-02-10T01:08:19.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-02-10T01:46:19.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-02-10T01:58:19.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2026-02-10T02:44:19.754412""}]"
2,TKT-00002,2,INC-202602-0002,11,Mehdi MOUSSAOUI,TECH-011,1,Grand Casablanca,MINEUR,RESOLU,2026-02-19T17:05:29.754412,2026-02-19T17:15:29.754412,2026-02-19T17:14:29.754412,38,8.41,3.4,COMPLETE,2026-02-19T17:43:29.754412,2026-02-19T17:51:29.754412,2026-02-19T18:29:29.754412,False,,,,[],TECHNICIEN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-02-19T17:05:29.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-02-19T17:15:29.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-02-19T17:43:29.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-02-19T17:51:29.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2026-02-19T18:29:29.754412""}]"
3,TKT-00003,4,INC-202602-0004,14,Salma BENOMAR,TECH-014,6,Agadir,CRITIQUE,RESOLU,2026-02-08T01:45:29.754412,2026-02-08T01:51:29.754412,2026-02-08T06:50:29.754412,320,11.12,3.2,COMPLETE,2026-02-08T02:07:29.754412,2026-02-08T02:13:29.754412,2026-02-08T07:33:29.754412,True,13:00,14:00,,"[""Dependance fournisseur externe""]",TECHNICIEN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-02-08T01:45:29.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-02-08T01:51:29.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-02-08T02:07:29.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-02-08T02:13:29.754412""}, {""statut"": ""PAUSE"", ""timestamp"": ""2026-02-08T04:13:29.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-02-08T05:13:29.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2026-02-08T07:33:29.754412""}]"
4,TKT-00004,5,INC-202605-0005,1,Youssef BENALI,TECH-001,4,Fès,MAJEUR,FERME,2026-05-03T17:18:02.754412,2026-05-03T17:25:02.754412,2026-05-03T18:14:02.754412,66,1.27,3.4,COMPLETE,2026-05-03T18:03:02.754412,2026-05-03T18:16:02.754412,2026-05-03T19:22:02.754412,False,,,,[],TECHNICIEN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-05-03T17:18:02.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-05-03T17:25:02.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-05-03T18:03:02.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-05-03T18:16:02.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2026-05-03T19:22:02.754412""}]"
5,TKT-00005,6,INC-202604-0006,16,Houda KETTANI,TECH-016,5,Tanger,CRITIQUE,EN_COURS,2026-04-29T09:01:37.754412,2026-04-29T09:02:37.754412,,,21.88,,PAUSE,2026-04-29T09:30:37.754412,2026-04-29T09:41:37.754412,,True,13:00,14:00,,[],TECHNICIEN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-04-29T09:01:37.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-04-29T09:02:37.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-04-29T09:30:37.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-04-29T09:41:37.754412""}, {""statut"": ""PAUSE"", ""timestamp"": ""2026-04-29T11:41:37.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-04-29T12:41:37.754412""}]"
6,TKT-00006,7,INC-202601-0007,25,Ilyas IDRISSI,TECH-025,10,Tétouan,CRITIQUE,RESOLU,2026-01-25T17:15:32.754412,2026-01-25T17:18:32.754412,2026-01-25T22:40:32.754412,346,8.42,2.9,COMPLETE,2026-01-25T17:52:32.754412,2026-01-25T17:59:32.754412,2026-01-25T23:45:32.754412,True,13:00,14:00,,"[""Coordination avec equipe reseau requise""]",TECHNICIEN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-01-25T17:15:32.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-01-25T17:18:32.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-01-25T17:52:32.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-01-25T17:59:32.754412""}, {""statut"": ""PAUSE"", ""timestamp"": ""2026-01-25T19:59:32.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-01-25T20:59:32.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2026-01-25T23:45:32.754412""}]"
7,TKT-00007,8,INC-202602-0008,28,Kenza ELMANSOURI,TECH-028,9,Kenitra,CRITIQUE,RESOLU,2026-02-27T17:06:34.754412,2026-02-27T17:13:34.754412,2026-02-28T00:25:34.754412,452,28.35,4.3,COMPLETE,2026-02-27T17:42:34.754412,2026-02-27T17:54:34.754412,2026-02-28T01:26:34.754412,True,13:00,14:00,,"[""Coordination avec equipe reseau requise""]",ADMIN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-02-27T17:06:34.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-02-27T17:13:34.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-02-27T17:42:34.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-02-27T17:54:34.754412""}, {""statut"": ""PAUSE"", ""timestamp"": ""2026-02-27T19:54:34.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-02-27T20:54:34.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2026-02-28T01:26:34.754412""}]"
8,TKT-00008,9,INC-202512-0009,19,Omar FASSI,TECH-019,2,Rabat-Salé,CRITIQUE,RESOLU,2025-12-25T23:38:44.754412,2025-12-25T23:42:44.754412,2025-12-26T05:10:44.754412,356,28.49,3.3,COMPLETE,2025-12-26T00:21:44.754412,2025-12-26T00:27:44.754412,2025-12-26T06:23:44.754412,True,13:00,14:00,,"[""Acces difficile (hauteur / espace confine)""]",ADMIN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2025-12-25T23:38:44.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2025-12-25T23:42:44.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2025-12-26T00:21:44.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2025-12-26T00:27:44.754412""}, {""statut"": ""PAUSE"", ""timestamp"": ""2025-12-26T02:27:44.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2025-12-26T03:27:44.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2025-12-26T06:23:44.754412""}]"
9,TKT-00009,10,INC-202604-0010,11,Mehdi MOUSSAOUI,TECH-011,1,Grand Casablanca,MAJEUR,EN_COURS,2026-04-14T15:06:34.754412,2026-04-14T15:12:34.754412,,,9.77,,SUR_SITE,2026-04-14T15:49:34.754412,2026-04-14T16:04:34.754412,,True,13:00,14:00,,"[""Manque d outillage specifique"", ""Dependance fournisseur externe""]",ADMIN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-04-14T15:06:34.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-04-14T15:12:34.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-04-14T15:49:34.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-04-14T16:04:34.754412""}, {""statut"": ""PAUSE"", ""timestamp"": ""2026-04-14T18:04:34.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-04-14T19:04:34.754412""}]"
10,TKT-00010,11,INC-202602-0011,14,Salma BENOMAR,TECH-014,6,Agadir,MINEUR,RESOLU,2026-02-01T18:23:22.754412,2026-02-01T18:35:22.754412,2026-02-01T19:14:22.754412,65,8.77,4.5,COMPLETE,2026-02-01T19:16:22.754412,2026-02-01T19:30:22.754412,2026-02-01T20:35:22.754412,False,,,,"[""Dependance fournisseur externe""]",ADMIN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2026-02-01T18:23:22.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2026-02-01T18:35:22.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2026-02-01T19:16:22.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2026-02-01T19:30:22.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2026-02-01T20:35:22.754412""}]"
11,TKT-00011,12,INC-202512-0012,10,Sara LAHLOU,TECH-010,5,Tanger,CRITIQUE,RESOLU,2025-12-14T12:30:12.754412,2025-12-14T12:34:12.754412,2025-12-14T16:10:12.754412,243,6.68,4.5,COMPLETE,2025-12-14T13:18:12.754412,2025-12-14T13:25:12.754412,2025-12-14T17:28:12.754412,True,13:00,14:00,,"[""Dependance fournisseur externe"", ""Zone a acces restreint""]",TECHNICIEN,"[{""statut"": ""ASSIGNE"", ""timestamp"": ""2025-12-14T12:30:12.754412""}, {""statut"": ""EN_ROUTE"", ""timestamp"": ""2025-12-14T12:34:12.754412""}, {""statut"": ""SUR_SITE"", ""timestamp"": ""2025-12-14T13:18:12.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2025-12-14T13:25:12.754412""}, {""statut"": ""PAUSE"", ""timestamp"": ""2025-12-14T15:25:12.754412""}, {""statut"": ""EN_COURS"", ""timestamp"": ""2025-12-14T16:25:12.754412""}, {""statut"": ""COMPLETE"", ""timestamp"": ""2025-12-14T17:28:12.754412""}]"
